z=0
NA=1.4
n0=1.52
n=1.49
n1=1
d=0.01
lamem=0.57
mag=100
focus=0.6
pixel=10
nn=10
be_res=15
al_res=15
noise=10

photons 	 theta 	 phi
   1000	 90	  0
   1000	 90	  0
   1000	 90	  0
   1500	 90	  0
   1000	 90	  0
   1000	 90	 15
   1500	 90	 15
   1000	 90	 15
   1000	 90	 15
   1000	 90	 15
   1000	 90	 30
   1500	 90	 30
   1000	 90	 30
   1000	 90	 30
   1000	 90	 30
   1500	 90	 45
   1000	 90	 45
   1000	 90	 45
   1000	 90	 45
   1500	 90	 45
   1500	 90	 60
   2500	 90	 60
   1000	 90	 60
   1000	 90	 60
   2000	 90	 60
   1000	 90	 75
   1500	 90	 75
   1000	 90	 75
   2500	 90	 75
   1000	 90	 75
   1000	 90	 90
   1000	 90	 90
   1500	 90	 90
   1000	 90	 90
   1500	 90	 90
   1000	 90	105
   2000	 90	105
   1500	 90	105
   1000	 90	105
   2000	 90	105
   1500	 90	120
   1000	 90	120
   1000	 90	120
   1000	 90	120
   1000	 90	120
   1000	 90	135
   1500	 90	135
   2000	 90	135
   1000	 90	135
   1500	 90	135
   1000	 90	150
   1000	 90	150
   2000	 90	150
   1000	 90	150
   1500	 90	150
   1500	 90	165
   1000	 90	165
   1500	 90	165
   1000	 90	165
   1500	 90	165
   1000	 75	  0
   1000	 75	  0
   1500	 75	  0
   1000	 75	  0
   1000	 75	  0
   1000	 75	 16
   2000	 75	 16
   1000	 75	 16
   1000	 75	 16
   1000	 75	 16
   2000	 75	 31
   1000	 75	 31
   1500	 75	 31
   1000	 75	 31
   1000	 75	 31
   1500	 75	 47
   1000	 75	 47
   1000	 75	 47
   1000	 75	 47
   1000	 75	 47
   1000	 75	 63
   1000	 75	 63
   1500	 75	 63
   1000	 75	 63
   1500	 75	 63
   1000	 75	 78
   2000	 75	 78
   1000	 75	 78
   2000	 75	 78
   1000	 75	 78
   1000	 75	 94
   1500	 75	 94
   1000	 75	 94
   1000	 75	 94
   1000	 75	 94
   1500	 75	110
   1000	 75	110
   1500	 75	110
   1500	 75	110
   1500	 75	110
   1500	 75	125
   1000	 75	125
   2500	 75	125
   2500	 75	125
   1000	 75	125
   1500	 75	141
   1000	 75	141
   1000	 75	141
   1000	 75	141
   1000	 75	141
   1000	 75	157
   1000	 75	157
   1000	 75	157
   2000	 75	157
   1500	 75	157
   1000	 75	172
   1000	 75	172
   1000	 75	172
   2000	 75	172
   1000	 75	172
   1000	 75	188
   1000	 75	188
   1000	 75	188
   1000	 75	188
   1000	 75	188
   1000	 75	203
   1000	 75	203
   1000	 75	203
   1000	 75	203
   1000	 75	203
   1000	 75	219
   1500	 75	219
   1000	 75	219
   1000	 75	219
   1000	 75	219
   1000	 75	235
   1500	 75	235
   1000	 75	235
   1000	 75	235
   1000	 75	235
   1000	 75	250
   1000	 75	250
   1000	 75	250
   1000	 75	250
   1000	 75	250
   1000	 75	266
   1000	 75	266
   1000	 75	266
   1000	 75	266
   1000	 75	266
   1000	 75	282
   1000	 75	282
   1000	 75	282
   1000	 75	282
   1000	 75	282
   1000	 75	297
   1000	 75	297
   1000	 75	297
   1000	 75	297
   1500	 75	297
   2000	 75	313
   1000	 75	313
   1000	 75	313
   1000	 75	313
   1000	 75	313
   1500	 75	329
   1500	 75	329
   2000	 75	329
   1000	 75	329
   1000	 75	329
   1000	 75	344
   1500	 75	344
   1000	 75	344
   1000	 75	344
   1000	 75	344
   1500	 60	  0
   1000	 60	  0
   1500	 60	  0
   1000	 60	  0
   1000	 60	  0
   1500	 60	 17
   1000	 60	 17
   1000	 60	 17
   1000	 60	 17
   1500	 60	 17
   1000	 60	 34
   1000	 60	 34
   1500	 60	 34
   1500	 60	 34
   1000	 60	 34
   1500	 60	 51
   1000	 60	 51
   1500	 60	 51
   1000	 60	 51
   1500	 60	 51
   1500	 60	 69
   1000	 60	 69
   1000	 60	 69
   1500	 60	 69
   1500	 60	 69
   1000	 60	 86
   1000	 60	 86
   1000	 60	 86
   1000	 60	 86
   2000	 60	 86
   2000	 60	103
   1500	 60	103
   3000	 60	103
   1000	 60	103
   1000	 60	103
   1500	 60	120
   1000	 60	120
   1000	 60	120
   2500	 60	120
   1500	 60	120
   1000	 60	137
   2500	 60	137
   1000	 60	137
   1500	 60	137
   1000	 60	137
   1000	 60	154
   2000	 60	154
   1000	 60	154
   1000	 60	154
   1500	 60	154
   1000	 60	171
   1500	 60	171
   1000	 60	171
   1000	 60	171
   2000	 60	171
   1500	 60	189
   1500	 60	189
   1000	 60	189
   1000	 60	189
   2000	 60	189
   1000	 60	206
   1500	 60	206
   1000	 60	206
   1500	 60	206
   2000	 60	206
   1500	 60	223
   1000	 60	223
   1000	 60	223
   1500	 60	223
   1000	 60	223
   1000	 60	240
   1000	 60	240
   1000	 60	240
   1000	 60	240
   1000	 60	240
   2000	 60	257
   1000	 60	257
   1000	 60	257
   1500	 60	257
   1000	 60	257
   1000	 60	274
   1500	 60	274
   1000	 60	274
   1000	 60	274
   1000	 60	274
   2000	 60	291
   1000	 60	291
   1500	 60	291
   1000	 60	291
   2000	 60	291
   1000	 60	309
   1500	 60	309
   1000	 60	309
   1000	 60	309
   1500	 60	309
   1000	 60	326
   1500	 60	326
   1000	 60	326
   1000	 60	326
   1500	 60	326
   1000	 60	343
   1000	 60	343
   2000	 60	343
   1000	 60	343
   1500	 60	343
   2000	 45	  0
   1000	 45	  0
   2000	 45	  0
   1000	 45	  0
   1000	 45	  0
   2000	 45	 21
   1000	 45	 21
   1500	 45	 21
    500	 45	 21
   1000	 45	 21
   1500	 45	 42
   1500	 45	 42
   1500	 45	 42
   1000	 45	 42
   1500	 45	 42
   2000	 45	 64
   1000	 45	 64
   1000	 45	 64
   1000	 45	 64
   1000	 45	 64
   1000	 45	 85
   1000	 45	 85
   1500	 45	 85
   1000	 45	 85
   1000	 45	 85
   1000	 45	106
   1000	 45	106
   1000	 45	106
   1000	 45	106
   1000	 45	106
   1500	 45	127
   1000	 45	127
   1500	 45	127
   1000	 45	127
   1500	 45	127
   1500	 45	148
   1000	 45	148
   1500	 45	148
   1000	 45	148
   1000	 45	148
   1500	 45	169
   1000	 45	169
   1000	 45	169
   1000	 45	169
   1500	 45	169
   1000	 45	191
   1000	 45	191
   1500	 45	191
   1000	 45	191
   1000	 45	191
   1000	 45	212
   1500	 45	212
   1000	 45	212
   1500	 45	212
   1500	 45	212
   2000	 45	233
   1000	 45	233
   1000	 45	233
   1500	 45	233
   1000	 45	233
   1500	 45	254
   1000	 45	254
   1000	 45	254
   1000	 45	254
   1000	 45	254
   1500	 45	275
   1000	 45	275
   1000	 45	275
   1500	 45	275
   1500	 45	275
   1500	 45	296
   1000	 45	296
   1500	 45	296
   1000	 45	296
   2000	 45	296
   1000	 45	318
   1000	 45	318
   1500	 45	318
   2000	 45	318
   1500	 45	318
   1000	 45	339
   1500	 45	339
   1000	 45	339
   1000	 45	339
   1500	 45	339
   1500	 30	  0
   1000	 30	  0
   1500	 30	  0
   1500	 30	  0
   1500	 30	  0
   1000	 30	 30
   1500	 30	 30
   1500	 30	 30
   1500	 30	 30
   1500	 30	 30
   1000	 30	 60
   1500	 30	 60
   1500	 30	 60
   1000	 30	 60
   1500	 30	 60
   1000	 30	 90
   1000	 30	 90
   1000	 30	 90
   1000	 30	 90
   1500	 30	 90
   1500	 30	120
   1500	 30	120
   1500	 30	120
   1500	 30	120
   1500	 30	120
   1000	 30	150
   1000	 30	150
   1500	 30	150
   1000	 30	150
   1000	 30	150
   1500	 30	180
   1500	 30	180
   1500	 30	180
   1000	 30	180
   1500	 30	180
   1500	 30	210
   1000	 30	210
   1000	 30	210
   2000	 30	210
   1000	 30	210
   1000	 30	240
   1500	 30	240
   1000	 30	240
   1000	 30	240
   1000	 30	240
   1500	 30	270
   1500	 30	270
   1500	 30	270
   1000	 30	270
   1000	 30	270
   1500	 30	300
   1000	 30	300
   1000	 30	300
   1500	 30	300
   1000	 30	300
   1000	 30	330
   2000	 30	330
   1500	 30	330
   1500	 30	330
   1000	 30	330
   1000	 15	  0
   1000	 15	  0
   1500	 15	  0
   1000	 15	  0
   1500	 15	  0
   1000	 15	 60
   1500	 15	 60
   1500	 15	 60
   1000	 15	 60
   1500	 15	 60
   1500	 15	120
   1000	 15	120
   1000	 15	120
   1500	 15	120
   1000	 15	120
   1500	 15	180
   1000	 15	180
   1000	 15	180
   1500	 15	180
   1000	 15	180
   1500	 15	240
   1500	 15	240
   1500	 15	240
   1500	 15	240
   1000	 15	240
   1500	 15	300
   1000	 15	300
   1000	 15	300
   1500	 15	300
   1000	 15	300
   1000	  0	  0
   1000	  0	  0
   1000	  0	  0
   1000	  0	  0
   1000	  0	  0
